Size,Paper Type,Printed Side,Envelopes,Printing Time,"1,000",100,125,150,175,200,25,250,50,500,75
"4.25"" x 5.5""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$264.66,$41.96,$48.14,$54.33,$60.51,$66.70,$21.96,$79.07,$29.58,$140.94,$35.77
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$113.76,$33.35,$37.62,$41.90,$46.17,$50.45,$17.53,$58.99,$23.10,$84.81,$28.67
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$113.76,$33.35,$37.62,$41.90,$46.17,$50.45,$17.53,$58.99,$23.10,$84.81,$28.67
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$164.68,$41.96,$48.14,$54.33,$60.51,$66.70,$20.11,$79.07,$28.28,$125.54,$35.77
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$164.68,$41.96,$48.14,$54.33,$60.51,$66.70,$20.11,$79.07,$28.28,$125.54,$35.77
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$203.06,$76.73,$89.82,$102.91,$116.01,$129.10,$34.46,$136.96,$50.54,$164.31,$63.64
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$203.06,$76.73,$89.82,$102.91,$116.01,$129.10,$34.46,$136.96,$50.54,$164.31,$63.64
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$272.58,$103.62,$122.69,$141.76,$160.83,$179.90,$41.93,$190.54,$65.48,$225.86,$84.55
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$272.58,$103.62,$122.69,$141.76,$160.83,$179.90,$41.93,$190.54,$65.48,$225.86,$84.55
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$137.75,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$99.74,$35.04,$103.22,$44.77
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$137.75,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$99.74,$35.04,$103.22,$44.77
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$195.01,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$149.04,$58.15
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$195.01,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$149.04,$58.15
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$398.79,$146.13,$172.31,$198.50,$224.68,$250.87,$61.59,$266.59,$93.76,$321.28,$119.94
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$398.79,$146.13,$172.31,$198.50,$224.68,$250.87,$61.59,$266.59,$93.76,$321.28,$119.94
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$537.83,$199.91,$238.05,$276.19,$314.32,$352.46,$76.53,$373.76,$123.64,$444.38,$161.77
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$537.83,$199.91,$238.05,$276.19,$314.32,$352.46,$76.53,$373.76,$123.64,$444.38,$161.77
"5"" x 7""",14 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"5"" x 7""",14 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"5"" x 7""",14 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"5"" x 7""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$187.25,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$104.60,$35.04,$138.64,$44.77
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$187.25,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$104.60,$35.04,$138.64,$44.77
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$278.88,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$211.95,$58.15
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$278.88,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$211.95,$58.15
"5"" x 7""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$388.59,$135.93,$162.11,$188.30,$214.49,$240.67,$51.40,$256.39,$83.56,$311.08,$109.74
"5"" x 7""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$388.59,$135.93,$162.11,$188.30,$214.49,$240.67,$51.40,$256.39,$83.56,$311.08,$109.74
"5"" x 7""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$527.63,$189.71,$227.85,$265.99,$304.12,$342.26,$66.34,$363.56,$113.44,$434.19,$151.57
"5"" x 7""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$527.63,$189.71,$227.85,$265.99,$304.12,$342.26,$66.34,$363.56,$113.44,$434.19,$151.57
