combination_id,product_name,Size,Paper Type,Window,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Paper Type_id,Window_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
22,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"8,000",4 Business Days,$514.12,$514.12,0.06427,8000,0,35162,626,35056,627,636,35240,2025-09-02T17:25:44.452917,Extracted using real API endpoints
23,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"9,000",6 Business Days,$557.06,$557.06,0.06190,9000,0,35162,626,35056,627,637,642,2025-09-02T17:25:44.855815,Extracted using real API endpoints
24,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"9,000",4 Business Days,$557.06,$557.06,0.06190,9000,0,35162,626,35056,627,637,35240,2025-09-02T17:25:45.264701,Extracted using real API endpoints
25,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"10,000",6 Business Days,$600.01,$600.01,0.06000,10000,0,35162,626,35056,627,638,642,2025-09-02T17:25:45.664369,Extracted using real API endpoints
26,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"10,000",4 Business Days,$600.01,$600.01,0.06000,10000,0,35162,626,35056,627,638,35240,2025-09-02T17:25:46.063214,Extracted using real API endpoints
27,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"15,000",6 Business Days,$808.13,$808.13,0.05388,15000,0,35162,626,35056,627,640,642,2025-09-02T17:25:46.462819,Extracted using real API endpoints
28,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"15,000",4 Business Days,$808.13,$808.13,0.05388,15000,0,35162,626,35056,627,640,35240,2025-09-02T17:25:46.868633,Extracted using real API endpoints
29,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"20,000",6 Business Days,$1012.30,$1012.30,0.05062,20000,0,35162,626,35056,627,641,642,2025-09-02T17:25:47.275676,Extracted using real API endpoints
30,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"20,000",4 Business Days,$1012.30,$1012.30,0.05062,20000,0,35162,626,35056,627,641,35240,2025-09-02T17:25:47.686837,Extracted using real API endpoints
31,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,250,6 Business Days,$124.23,$124.23,0.49692,250,0,35162,626,35057,627,16331,642,2025-09-02T17:25:48.636095,Extracted using real API endpoints
32,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,250,4 Business Days,$124.23,$124.23,0.49692,250,0,35162,626,35057,627,16331,35240,2025-09-02T17:25:49.042498,Extracted using real API endpoints
33,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,500,6 Business Days,$130.21,$130.21,0.26042,500,0,35162,626,35057,627,628,642,2025-09-02T17:25:49.458491,Extracted using real API endpoints
34,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,500,4 Business Days,$130.21,$130.21,0.26042,500,0,35162,626,35057,627,628,35240,2025-09-02T17:25:49.870324,Extracted using real API endpoints
35,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"1,000",6 Business Days,$147.49,$147.49,0.14749,1000,0,35162,626,35057,627,629,642,2025-09-02T17:25:50.276765,Extracted using real API endpoints
36,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"1,000",4 Business Days,$147.49,$147.49,0.14749,1000,0,35162,626,35057,627,629,35240,2025-09-02T17:25:50.692844,Extracted using real API endpoints
37,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"2,000",6 Business Days,$213.00,$213.00,0.10650,2000,0,35162,626,35057,627,630,642,2025-09-02T17:25:51.101811,Extracted using real API endpoints
